,nome/razao social,contato,localidade,site
161,Empreiteira Prado - Reformas & Construção em Geral,(11) 3666-8406,São Paulo - SP,http://empreiteiraprado.com.br/
162,Pires Empreiteira e Construções Ltda Me,(11) 4156-5671,São Paulo - SP,http://piresempreiteira.com.br/
163,Marxplan Empreiteira De Obra Civil,(11) 4623-1534,Osasco - SP,Não tem
164,CONSTRUTORA E EMPREITEIRA ACM,(11) 3714-3888,São Paulo - SP,http://acmempreiteira.com.br/
165,Rodrigues Alves Empreiteira de Mão-de-Obra,(11) 3592-7207,Osasco - SP,Não tem
166,Construtora e Empreiteira WRGB,(11) 4169-0720,Cotia - SP,http://construtorawrgb.com.br/
167,J N Mariano Empreiteira,(11) 4186-5828,Carapicuíba - SP,Não tem
168,JJ Empreiteira,(11) 94019-0049,Itapevi - SP,http://jjempreiteira.com/
169,São João Empreiteira,(11) 4783-3354,São Paulo - SP,http://saojoaoempreiteira.com.br/
170,Anfewa Empreiteira de Construções,(11) 3721-3492,São Paulo - SP,Não tem
171,Avs Empreiteira De Obras Limitada,,Franco da Rocha - SP,Não tem
172,Ipemac Empreiteira e Contrutora,(11) 3784-2790,São Paulo - SP,Não tem
173,A.M.Quirino Construtora e Reformas | Empreiteira de Obras,(11) 2061-4545,Ipiranga - SP,https://www.empreiteiradeobras.com.br/
174,ProARS Empreiteira,(11) 99469-3019,São Paulo - SP,http://www.proars.com.br/
175,Gompel Empreiteira De Mão De Obra,,Barueri - SP,Não tem
176,Quality Empreiteira e Construcaocivil,(11) 3031-0771,São Paulo - SP,Não tem
177,"MAIOR Êxito - Construtora e Empreiteira De Casas Construção e Reforma Em Cotia , Granja Viana",(11) 99681-5060,Cotia - SP,http://www.maiorconstrutora.com.br/
178,Alifran Empreiteira,,São Paulo - SP,Não tem
179,Empreiteira Juvêncio Lopes Andréa,(11) 98023-2912,São Paulo - SP,Não tem
180,ConstrubiffiJCC Empreiteira,(11) 2976-2490,São Paulo - SP,Não tem
181,Empreiteira Prado - Reformas & Construção em Geral,(11) 3666-8406,São Paulo - SP,http://empreiteiraprado.com.br/
182,Empreiteira Camargo silva,(11) 2092-4347,São Paulo - SP,http://empreiteiracamargosilva.com.br/
183,Adcr Empreiteira,,São Paulo - SP,Não tem
184,CFF Comercial Empreiteira,(11) 4194-2231,Barueri - SP,Não tem
185,JLC Empreiteira Construção Civil,(11) 3255-7756,São Paulo - SP,Não tem
186,Empreiteira Lubarino,,Osasco - SP,Não tem
187,BOMFIM Empreiteira,(11) 2729-8411,São Paulo,http://www.bomfimempreiteira.com.br/
188,Astral Empreiteira de Obras SP,(11) 96396-9882,Francisco Morato - SP,http://astralempreiteira.com.br/contato/
189,BGF Empreiteira Construção Civil,(11) 3726-1080,São Paulo - SP,Não tem
190,Construmeira Empreiteira De Mão De Obra Ltda,,São Paulo - SP,Não tem
191,EDB Empreiteira,(11) 3768-2771,São Paulo - SP,Não tem
192,Empreiteira Severo,,Cotia - SP,Não tem
193,Piacon Empreiteira,,Barueri - SP,Não tem
194,Prudêncio Empreiteira e Construtora,(11) 3473-1851,São Paulo - SP,http://grupoprudencio.com.br/
195,Empreiteira Grupo Niedja Comercial Ltda-me,(11) 3782-5133,São Paulo - SP,Não tem
196,JFC Empreiteira de Mão-de-Obra S/C Ltda,(11) 4789-2275,Jandira - SP,Não tem
197,Empreiteira Eestrela,(11) 4116-1952,São Paulo - SP,http://www.empreiteiraestrela.com.br/
198,Empreiteira Camargo silva,(11) 2092-4347,São Paulo - SP,http://empreiteiracamargosilva.com.br/
199,AYZ Empreiteira Ltda,(11) 3673-4697,São Paulo - SP,Não tem
200,Empreiteira Vichiato,(11) 3777-6589,São Paulo - SP,http://www.empreiteiravichiato.com.br/
201,Fadecor Empreiteira - Reformas em geral | Residencial e Comercial,(11) 96680-8546,Carapicuíba - SP,Não tem
202,W Lopes Gesso e Empreiteira de Serviços,(11) 98243-3133,São Paulo - SP,Não tem
203,LF Empreiteira Saraiva,(11) 3733-4563,São Paulo - SP,Não tem
204,Empreiteira no Ipiranga | Construções e Reformas,(11) 2061-4545,São Paulo - SP,https://www.empreiteiradeobras.com.br/
205,R R Empreiteira de Obras,(11) 4138-1717,Taboão da Serra - SP,http://rrempreiteiradeobras.vitrinevirtual.net/
206,Augustus Empreiteira Mão Obra,(11) 3813-2343,São Paulo - SP,Não tem
207,Empreiteira Gomes De Lucena,,São Paulo - SP,Não tem
208,Proativa Planejamento de Obras,(11) 4375-3179,Barueri - SP,http://proativaplanejamento.com.br/
